variable,type,JSD,KS,W1
HighBP,discrete,0.18384756555226045,,
HighChol,discrete,0.13533764264887424,,
CholCheck,discrete,0.024307102393817854,,
BMI,continuous,,0.962,15.561718287593452
Smoker,discrete,0.17905845180344127,,
Stroke,discrete,0.1164949284851754,,
HeartDiseaseorAttack,discrete,0.16650049966671923,,
PhysActivity,discrete,0.2683827219719137,,
Fruits,discrete,0.0062385614458813875,,
Veggies,discrete,0.07081376146338209,,
HvyAlcoholConsump,discrete,0.04113381499809712,,
AnyHealthcare,discrete,0.07517587687610722,,
NoDocbcCost,discrete,0.15847857764046566,,
GenHlth,discrete,0.3199705475490146,,
MentHlth,continuous,,0.721,2.964743780633147
PhysHlth,continuous,,0.745,3.0730237588937097
DiffWalk,discrete,0.20947627853097572,,
Sex,discrete,0.06032967921495784,,
Age,discrete,0.8216059062346636,,
Education,discrete,0.447871314513576,,
Income,discrete,0.29868940279609557,,
Diabetes_binary,discrete,0.22433419182029135,,
