variable,type,JSD,KS,W1
HighBP,discrete,0.013681821783780447,,
HighChol,discrete,0.018171070016328363,,
CholCheck,discrete,0.018766803293152397,,
BMI,continuous,,0.093,0.7953474494175976
Smoker,discrete,0.07059995689975869,,
Stroke,discrete,0.028759526603316724,,
HeartDiseaseorAttack,discrete,0.004376049996000367,,
PhysActivity,discrete,0.016324368101096495,,
Fruits,discrete,0.02391122434706183,,
Veggies,discrete,0.0324885005393513,,
HvyAlcoholConsump,discrete,0.02130863897164647,,
AnyHealthcare,discrete,0.06202133053570867,,
NoDocbcCost,discrete,0.04947287044251604,,
GenHlth,discrete,0.019876678660725254,,
MentHlth,continuous,,0.695,3.301294652130612
PhysHlth,continuous,,0.61,2.8759106205804055
DiffWalk,discrete,0.031574428030591725,,
Sex,discrete,0.007674404782133695,,
Age,discrete,0.15400769582923482,,
Education,discrete,0.059756280650276605,,
Income,discrete,0.1378215851692506,,
Diabetes_binary,discrete,0.02788634027278416,,
