variable,type,JSD,KS,W1
HighBP,discrete,0.04123022824708501,,
HighChol,discrete,0.012097280441146007,,
CholCheck,discrete,0.02096992474358869,,
BMI,continuous,,0.145,1.300731671445991
Smoker,discrete,0.047580571019420634,,
Stroke,discrete,0.03363792217595516,,
HeartDiseaseorAttack,discrete,0.016368473511547323,,
PhysActivity,discrete,0.012282306094021273,,
Fruits,discrete,0.03703365302217123,,
Veggies,discrete,0.02473045359414833,,
HvyAlcoholConsump,discrete,0.017891203803737984,,
AnyHealthcare,discrete,0.04356353529948889,,
NoDocbcCost,discrete,0.043009813771876564,,
GenHlth,discrete,0.02961258034311362,,
MentHlth,continuous,,0.356,3.9872531484138185
PhysHlth,continuous,,0.306,3.5551218124209365
DiffWalk,discrete,0.021986460461002073,,
Sex,discrete,0.004262042713068297,,
Age,discrete,0.13149515571772352,,
Education,discrete,0.04686215757934468,,
Income,discrete,0.1112944130528681,,
Diabetes_binary,discrete,0.01496150519746081,,
