variable,type,KS,W1,JSD
age,continuous,0.15476190476190477,3.292546917041996,
bp,continuous,0.28869047619047616,4.6297782239203045,
sg,continuous,0.32688492063492064,0.0017156382355493,
al,continuous,0.42509920634920634,0.3788507124550951,
su,continuous,0.5962301587301587,0.37631686514775703,
rbc,discrete,,,0.07424566362823774
pc,discrete,,,0.011770510779479201
pcc,discrete,,,0.11378921930361559
ba,discrete,,,0.09014852133654455
bgr,continuous,0.1453373015873016,26.587428187397396,
bu,continuous,0.21875,9.636852257667487,
sc,continuous,0.21924603174603174,0.581719531869877,
sod,continuous,0.23859126984126985,2.9643006045679487,
pot,continuous,0.13045634920634921,1.4835389718409309,
hemo,continuous,0.13194444444444445,0.5195124420507542,
pcv,continuous,0.20982142857142858,1.7561952881008749,
wbcc,continuous,0.13640873015873015,652.168002211639,
rbcc,continuous,0.10813492063492064,0.1838702626306048,
htn,discrete,,,0.035215799945752364
dm,discrete,,,0.011744108632977701
cad,discrete,,,0.10272838365419194
appet,discrete,,,0.056444992509418423
pe,discrete,,,0.04109491351975766
ane,discrete,,,0.002539126979911361
class,discrete,,,0.04079603583447763
