variable,type,KS,W1,JSD
age,continuous,1.0,34.03125,
bp,continuous,0.1035,2.475,
sg,continuous,0.22525,0.002544999999999978,
al,continuous,0.20675,0.6567500000000001,
su,continuous,0.077,0.32099999999999995,
rbc,discrete,,,0.14916069308740595
pc,discrete,,,0.2596762949687527
pcc,discrete,,,0.09002544110547007
ba,discrete,,,0.13416071261854312
bgr,continuous,0.90625,186.8104988657656,
bu,continuous,1.0,48.9375,
sc,continuous,0.78125,6.042945834121948,
sod,continuous,1.0,25.55376120855654,
pot,continuous,0.77325,2.8778315903969527,
hemo,continuous,0.996,10.341613191739217,
pcv,continuous,0.30675,3.8672905815784127,
wbcc,continuous,0.90525,11996.703125427124,
rbcc,continuous,0.96875,2.609164865014636,
htn,discrete,,,0.22650353581078883
dm,discrete,,,0.04018776327381551
cad,discrete,,,0.06102640330313981
appet,discrete,,,0.248367217905037
pe,discrete,,,0.1890460033258877
ane,discrete,,,0.21755794542917625
class,discrete,,,0.006352526953853964
