variable,type,KS,W1,JSD
age,continuous,0.9666666666666667,19.8315162503351,
sex,discrete,,,0.40850500205022144
cp,discrete,,,0.5636917643290621
trestbps,continuous,0.9833333333333333,35.483333333333334,
chol,continuous,1.0,116.96666666666667,
fbs,discrete,,,0.06064573525639596
restecg,discrete,,,0.757006538263827
thalach,continuous,0.8356666666666667,40.70780397948968,
exang,discrete,,,0.32099990917915416
oldpeak,continuous,0.6096666666666667,2.5730685515992633,
slope,discrete,,,0.5454621330780496
ca,continuous,0.3576666666666667,0.5329999999999999,
thal,continuous,0.049,0.15933333333333344,
num,discrete,,,0.3318076480790216
