variable,type,KS,W1,JSD
age,continuous,0.08382838283828382,1.1177774224873422,
sex,discrete,,,0.06723545422571375
cp,discrete,,,0.1228680509335179
trestbps,continuous,0.16452145214521452,3.4708526094623684,
chol,continuous,0.1717821782178218,10.819994795763893,
fbs,discrete,,,0.10230723929639028
restecg,discrete,,,0.0926452663534208
thalach,continuous,0.23003300330033002,7.159145224329527,
exang,discrete,,,0.12365993388593019
oldpeak,continuous,0.19471947194719472,0.2407540414053711,
slope,discrete,,,0.07124183357978565
ca,discrete,,,0.0509530259540047
thal,discrete,,,0.11394993618979082
num,discrete,,,0.1011531741149674
