variable,type,KS,W1,JSD
age,continuous,0.23366666666666666,3.066917563149437,
sex,discrete,,,0.1488014358564511
cp,discrete,,,0.14837668711631766
trestbps,continuous,0.26966666666666667,6.067774231846727,
chol,continuous,0.2956666666666667,25.558569867506826,
fbs,discrete,,,0.005578574620536827
restecg,discrete,,,0.15940230061897634
thalach,continuous,0.223,7.02625127919347,
exang,discrete,,,0.059449097779340966
oldpeak,continuous,0.21833333333333332,0.31243431299617225,
slope,discrete,,,0.08995788813719585
ca,continuous,0.08666666666666667,0.08899999999999997,
thal,continuous,0.088,0.2996666666666665,
num,discrete,,,0.11986493091787576
