variable,type,KS,W1,JSD
Age,continuous,0.225,4.5188465490805605,
Sex,discrete,,,0.18985495055053309
Steroid,discrete,,,0.18579225707691185
Antivirals,discrete,,,0.0015800997465892652
Fatigue,discrete,,,0.12532606298777177
Malaise,discrete,,,0.22362052239967029
Anorexia,discrete,,,0.1568882346576215
Liver Big,discrete,,,0.00751154997307888
Liver Firm,discrete,,,0.044991432656202056
Spleen Palpable,discrete,,,0.12606263294948544
Spiders,discrete,,,0.17210911184136873
Ascites,discrete,,,0.03655700305366521
Varices,discrete,,,0.26701281708542796
Bilirubin,continuous,0.15483870967741936,0.210254643464918,
Alk Phosphate,continuous,0.16129032258064516,15.006680165914283,
Sgot,continuous,0.14838709677419354,29.276238608051575,
Albumin,continuous,0.3540322580645161,0.31373154932251546,
Protime,continuous,0.24435483870967742,7.915274905511188,
Histology,discrete,,,0.21281896836043437
Class,discrete,,,0.051428156912632646
