variable,type,KS,W1,JSD
Age,continuous,0.16411290322580646,3.2661953031179882,
Sex,discrete,,,0.1126890216313285
Steroid,discrete,,,0.2773186756107389
Antivirals,discrete,,,0.0264294010989227
Fatigue,discrete,,,0.16400256673740632
Malaise,discrete,,,0.20044812652024005
Anorexia,discrete,,,0.10852911276406642
Liver Big,discrete,,,0.02195819496539088
Liver Firm,discrete,,,0.050467068939946055
Spleen Palpable,discrete,,,0.06582974842588778
Spiders,discrete,,,0.15518522661572817
Ascites,discrete,,,0.04405491803670562
Varices,discrete,,,0.2801555921995277
Bilirubin,continuous,0.1870967741935484,0.2340071279577291,
Alk Phosphate,continuous,0.14516129032258066,10.752201650061856,
Sgot,continuous,0.27056451612903226,34.9571190099757,
Albumin,continuous,0.3907258064516129,0.3037588822051158,
Protime,continuous,0.14838709677419354,6.055795191847583,
Histology,discrete,,,0.19121344819071748
Class,discrete,,,0.021153694148202583
