variable,type,KS,W1,JSD
age,continuous,0.15476190476190477,3.292546917041996,
bp,continuous,0.28075396825396826,4.419219906614363,
sg,continuous,0.32688492063492064,0.0016943602029176005,
al,continuous,0.42509920634920634,0.3748225239832611,
su,continuous,0.6041666666666666,0.3521080798448709,
rbc,discrete,,,0.05507536642578985
pc,discrete,,,0.01972870927531926
pcc,discrete,,,0.11378921930361559
ba,discrete,,,0.09014852133654455
bgr,continuous,0.1349206349206349,24.05417735041256,
bu,continuous,0.22668650793650794,9.264113935818031,
sc,continuous,0.22718253968253968,0.5511399257282306,
sod,continuous,0.23859126984126985,3.0307593806034694,
pot,continuous,0.13045634920634921,1.4835389718409309,
hemo,continuous,0.12400793650793651,0.5043987320413269,
pcv,continuous,0.2177579365079365,1.7804660563073087,
wbcc,continuous,0.1284722222222222,642.0968799884091,
rbcc,continuous,0.14781746031746032,0.1793713089694165,
htn,discrete,,,0.027436791440796256
dm,discrete,,,0.02013143799173379
cad,discrete,,,0.11410897045777094
appet,discrete,,,0.056444992509418423
pe,discrete,,,0.05020761778280342
ane,discrete,,,0.018283392636868557
class,discrete,,,0.03358399631435027
