variable,type,KS,W1,JSD
age,continuous,0.15476190476190477,3.292546917041996,
bp,continuous,0.3402777777777778,3.726739691255652,
sg,continuous,0.279265873015873,0.001788578727599274,
al,continuous,0.3695436507936508,0.4623692406212326,
su,continuous,0.5168650793650794,0.21647720216016497,
rbc,discrete,,,0.0021603650894695525
pc,discrete,,,0.08737615859789193
pcc,discrete,,,0.051753418179092146
ba,discrete,,,0.052095947567812835
bgr,continuous,0.10515873015873016,11.807659989028567,
bu,continuous,0.3219246031746032,13.660292137619095,
sc,continuous,0.22718253968253968,0.4996537095371706,
sod,continuous,0.21180555555555555,2.0766082896223637,
pot,continuous,0.27132936507936506,1.561490690686203,
hemo,continuous,0.11458333333333333,0.5152945555979787,
pcv,continuous,0.20337301587301587,2.0662139779125384,
wbcc,continuous,0.19196428571428573,794.8251860975323,
rbcc,continuous,0.11706349206349206,0.2083896127240086,
htn,discrete,,,0.0297721804347817
dm,discrete,,,0.0032283008521042573
cad,discrete,,,0.06507251442620855
appet,discrete,,,0.09007553820382416
pe,discrete,,,0.04109491351975766
ane,discrete,,,0.01253005209348851
class,discrete,,,0.02617368100169918
