variable,type,KS,W1,JSD
age,continuous,0.14625,4.51742870229177,
bp,continuous,0.1265,2.3299999999999987,
sg,continuous,0.187,0.001992500000000002,
al,continuous,0.19025,0.57875,
su,continuous,0.0425,0.08999999999999997,
rbc,discrete,,,0.09471789593453982
pc,discrete,,,0.24876033323981944
pcc,discrete,,,0.10186230447934355
ba,discrete,,,0.1862389422556329
bgr,continuous,0.20075,12.296580794612646,
bu,continuous,0.494,24.210082299519332,
sc,continuous,0.354,1.1574556789298858,
sod,continuous,0.37775,2.6791652470529725,
pot,continuous,0.221,1.5326071710959985,
hemo,continuous,0.3095,1.5475590910811678,
pcv,continuous,0.31825,4.632085708110452,
wbcc,continuous,0.27575,988.5835382568704,
rbcc,continuous,0.27725,0.5411978967505694,
htn,discrete,,,0.2208234493807333
dm,discrete,,,0.171409510440311
cad,discrete,,,0.043015776306746974
appet,discrete,,,0.23284508125389908
pe,discrete,,,0.12015138695803083
ane,discrete,,,0.20089165723928182
class,discrete,,,0.2231551145133961
