variable,type,KS,W1,JSD
age,continuous,0.0801980198019802,1.2447640487592566,
sex,discrete,,,0.09712057896422875
cp,discrete,,,0.11237609067306115
trestbps,continuous,0.19653465346534654,4.837483160695832,
chol,continuous,0.1617161716171617,10.85001061249448,
fbs,discrete,,,0.12071281334887242
restecg,discrete,,,0.06194986315321948
thalach,continuous,0.26963696369636964,7.193000794647022,
exang,discrete,,,0.13229906374386097
oldpeak,continuous,0.2833333333333333,0.24100778033180872,
slope,discrete,,,0.12022326362274396
ca,discrete,,,0.049293930918469134
thal,discrete,,,0.08567428625949651
num,discrete,,,0.07094940485972566
