variable,type,KS,W1,JSD
Age,continuous,0.21129032258064517,4.015911763577545,
Sex,discrete,,,0.1494679963281259
Steroid,discrete,,,0.20742780472011432
Antivirals,discrete,,,0.07408796214763515
Fatigue,discrete,,,0.15303228559364646
Malaise,discrete,,,0.21778843217219088
Anorexia,discrete,,,0.1568882346576215
Liver Big,discrete,,,0.11117279221429831
Liver Firm,discrete,,,0.004490348874823804
Spleen Palpable,discrete,,,0.11322675843762665
Spiders,discrete,,,0.14948865282968576
Ascites,discrete,,,0.021153694148202583
Varices,discrete,,,0.20799034260770397
Bilirubin,continuous,0.21129032258064517,0.36773152189517033,
Alk Phosphate,continuous,0.21451612903225806,18.259190107303766,
Sgot,continuous,0.2125,39.79206271907239,
Albumin,continuous,0.2830645161290323,0.22691319305411056,
Protime,continuous,0.14758064516129032,6.3922701576516205,
Histology,discrete,,,0.16400256673740632
Class,discrete,,,0.021153694148202583
